,precision,recall,f1-score,support
Governing Laws,0.888888889,0.989690722,0.936585366,582
Counterparts,0.983903421,0.997959184,0.990881459,490
Notices,0.966903073,0.969194313,0.968047337,422
Severability,0.946386946,0.985436893,0.965517241,412
Entire Agreements,0.89408867,0.965425532,0.928388747,376
Amendments,0.832653061,0.910714286,0.869936034,224
Survival,0.924369748,0.990990991,0.956521739,222
Headings,0.98206278,0.995454545,0.988713318,220
Compliance With Laws,0.917808219,0.966346154,0.941451991,208
General,0.720779221,0.54679803,0.621848739,203
Assignments,0.868686869,0.882051282,0.875318066,195
Taxes,0.921686747,0.827027027,0.871794872,185
Expenses,0.892473118,0.907103825,0.899728997,183
Terms,0.885542169,0.835227273,0.859649123,176
Confidentiality,0.898305085,0.952095808,0.924418605,167
Waivers,0.812865497,0.837349398,0.824925816,166
Further Assurances,0.947712418,0.953947368,0.950819672,152
Indemnifications,0.90625,0.953947368,0.929487179,152
Insurances,0.963235294,0.984962406,0.973977695,133
Litigations,0.953488372,0.953488372,0.953488372,129
